name,density,spg,volume,SiOSi_average,SiOSi_gmean,SiOSi_hmean,SiOSi_max,SiOSi_mean,SiOSi_min,SiOSi_skew,SiOSi_std,SiOSi_var,SiO_average,SiO_gmean,SiO_hmean,SiO_max,SiO_mean,SiO_min,SiO_skew,SiO_std,SiO_var,ASA,AV,NASA,NAV,VolFrac,largest_free_sphere,largest_included_sphere,largest_included_sphere_free,max_dim,min_dim,mode_dim,g_gbr,k_gbr
GIU,1.79448944901,176,18.3138014639,154.969898149,154.65653194,154.342770737,170.566961833,154.969898149,138.057029054,0.00517032499528,9.8426135312,96.8770411246,1.60979872759,1.6097982354,1.60979774313,1.61121691457,1.60979872759,1.60818083205,-0.309965164791,0.00125872744491,1.58E-06,0,0,312.782,0.0376562,0,2.15437,5.85726,5.63127,0,0,[0],30.4391282311,60.547413661
GME,1.50172488148,176,22.1461616286,149.109759454,149.105890902,149.102002794,149.877952108,149.109759454,147.283178707,-1.05268266348,1.07137180943,1.14783755404,1.60869073708,1.60869060335,1.60869046963,1.60934666404,1.60869073708,1.60803481011,3.05E-17,0.000655926964306,4.30E-07,553.558,0.0910424,78.6262,0,0.13672,6.6965,7.11746,7.11746,3,3,[3],24.8659739617,53.6801504654
GON,1.8870511163,21,17.624028125,149.430892097,149.143175394,148.870040438,170.770707917,149.430892097,141.387410168,1.25948819689,9.50844742753,90.4105724822,1.61941505563,1.61941489843,1.61941474129,1.62064010745,1.61941505563,1.61885271083,1.09183075782,0.000713646251304,5.09E-07,281.502,0.0335976,0,0,0.0634,4.87232,5.67216,5.67216,1,1,[1],22.5371286826,44.8076640701
GOO,1.89192703242,20,17.5786070906,144.418443397,143.352397384,142.353083242,175.09358404,144.418443397,124.721475404,0.79508615959,18.0578263302,326.085091773,1.61073951716,1.61073630833,1.61073309288,1.61375096021,1.61073951716,1.60297320429,-1.54540036089,0.00321183990338,1.03E-05,0,0,35.6763,0.0125164,0,2.59617,3.93929,3.93715,0,0,[0],25.5791467676,40.2710234713
HEU,1.74800175681,12,19.0259774153,148.977829339,148.863914885,148.748767878,157.18528264,148.977829339,139.938613234,-0.396279788106,5.79304838034,33.5594095369,1.60943088666,1.60943062176,1.60943035683,1.61034813933,1.60943088666,1.60835177841,-0.19776966397,0.000923384038839,8.53E-07,0,0.0356866,289.581,0,0.06238,3.26915,5.22412,5.19926,2,2,[2],24.5174274594,43.2600404952
IFR,1.71150355646,12,19.4317106859,143.873360029,143.822299629,143.771016548,149.298996227,143.873360029,137.48144529,-0.230617357386,3.82430879844,14.6253377858,1.6100953036,1.61009505555,1.61009480751,1.61124554134,1.6100953036,1.60899203598,0.0465159266476,0.000893747379111,7.99E-07,584.582,0.0734212,0,0,0.12566,5.98202,6.56829,6.38944,1,1,[1],23.5874766632,46.5294445855
IHW,1.84256733719,64,18.049512371,150.808770609,150.558489614,150.309026356,168.27955161,150.808770609,131.902237809,0.209350905623,8.70592719524,75.7931683288,1.60985739204,1.60985697716,1.60985656222,1.6112074613,1.60985739204,1.60809341677,-0.244890948491,0.00115570440316,1.34E-06,0,0.0401073,325.685,0,0.0739,3.27365,6.08485,6.06938,2,2,[2],24.2366840486,47.7552706889
IMF,1.74441343949,63,19.065114493,153.32682716,153.008978154,152.707332133,180,153.32682716,142.644919525,1.27431201988,10.1299838486,102.616572772,1.60875434252,1.60875374388,1.60875314491,1.61097024793,1.60875434252,1.60580387642,-0.946064844476,0.00138747182488,1.93E-06,493.754,0.0549528,0,0,0.09586,4.88684,6.69777,6.68624,2,2,[2],28.209888916,67.9822563362
IRR,1.29342908339,6,26.016857691,147.954858913,147.26221299,146.614059895,180,147.954858913,135.436926415,1.04455336704,14.7692890147,218.131897999,1.1821082117,0.26696056587,0.00711351978919,1.61255397481,1.1821082117,0.0019031,-1.05527772698,0.71169171753,0.5065051008,1267.15,0.295884,0,0,0.34708,11.71564,13.92271,13.92271,3,3,[3],12.4433329037,39.2645149393
ISV,1.5006158314,131,22.1625290439,149.171308223,148.914106024,148.672191254,178.347351721,149.171308223,137.760844957,1.77089868833,9.04270738555,81.7705568606,1.60977068301,1.60977051447,1.60977034588,1.61032399416,1.60977068301,1.60850922965,-1.07868259108,0.000736496670769,5.42E-07,892.937,0.118712,0,0,0.17814,5.78539,6.37088,6.34398,3,3,[3],22.3467327132,55.4627542792
ITE,1.56848546141,63,21.2035385506,148.504181352,148.36339247,148.221083105,156.362298806,148.504181352,137.822462711,-0.360403115773,6.42924491406,41.335190165,1.62779056429,1.62779011991,1.62778967542,1.62922939946,1.62779056429,1.62594963657,-0.444911941632,0.00120267181215,1.45E-06,611.004,0.0822709,0,0,0.12904,3.81465,7.77939,7.7719,1,1,[1],23.2774331302,50.9740175308
ITG,1.65442364214,10,20.1021317031,147.116842819,146.981520973,146.8550191,175.016062903,147.116842819,137.086976266,2.63841317618,6.53630102154,42.7232310442,1.61026410474,1.61026387818,1.61026365164,1.61212613379,1.61026410474,1.60867374175,0.0479801852537,0.000854185051083,7.30E-07,578.571,0.0766676,0.58987,0,0.12684,5.89844,6.43907,6.4186,3,3,[3],21.6174108594,49.2962095529
ITH,1.73855886268,38,19.129316045,150.8083082,150.554596544,150.312859607,175.836402016,150.8083082,141.480781988,1.36013265857,8.96368893175,80.3477192651,1.6101266328,1.61012643746,1.61012624214,1.61129471207,1.6101266328,1.60892570829,0.382330497519,0.000793183716792,6.29E-07,468.031,0.0490984,0,0,0.08536,4.67509,6.29582,6.29582,3,3,[3],24.7151364554,57.9492531253
ITR,1.73121947566,63,19.2104134771,151.265234986,151.031339667,150.808351355,175.067343439,151.265234986,142.399624016,1.38413709929,8.6161139859,74.2374202181,1.60999385079,1.60999333357,1.60999281622,1.61167098843,1.60999385079,1.6075619406,-0.512827134932,0.00129033736897,1.66E-06,465.278,0.0515708,0,0,0.08928,4.72055,5.95862,5.95862,3,3,[3],24.1403378785,61.2092370688
ITW,1.76836513329,12,18.8068862708,150.191554938,149.886423806,149.60759236,180,150.191554938,143.999983233,2.20257468733,10.0136390452,100.272966927,1.60893475911,1.60893459095,1.60893442277,1.6096814213,1.60893475911,1.60793420842,-0.476632982568,0.000735541854576,5.41E-07,0,0.0272796,128.413,0,0.04824,3.47799,4.1615,4.1615,1,1,[1],26.3108261783,51.6984758506
IWR,1.56058557985,65,21.3108735441,146.732508677,146.587607211,146.454282852,176.677364295,146.732508677,138.979004635,3.05231685726,6.8068905242,46.3337586084,1.60987782519,1.60987767787,1.60987753049,1.61042889016,1.60987782519,1.60827423802,-1.64198928032,0.000688548935284,4.74E-07,790.273,0.104115,0,0,0.16248,5.50682,6.9016,6.9016,3,3,[3],21.5131262221,54.1650240927
IWS,1.47579299526,139,22.5353027516,148.712091371,148.372500764,148.048024976,179.23877994,148.712091371,135.612984716,1.17340323509,10.2884458036,105.852117054,1.61006324214,1.61006292283,1.61006260325,1.61110023602,1.61006324214,1.60666827351,-1.98056137245,0.00101359505946,1.03E-06,927.469,0.132689,0,0,0.19582,6.25829,7.63416,7.63326,3,3,[3],21.423589797,53.542414628
IWV,1.49861919278,69,22.1920565993,154.95380716,154.394812979,153.844324502,180,154.95380716,135.415233969,0.317849733584,13.2482462388,175.516028403,1.61039113645,1.61038886933,1.61038659998,1.61340529088,1.61039113645,1.6043415204,-0.879338313932,0.00270086789594,7.29E-06,812.842,0.128012,0,0,0.19184,6.63317,8.13768,8.11237,2,2,[2],25.6495164506,64.7026068843
IWW,1.65866255775,55,20.0507582399,146.865221683,146.73242693,146.608009374,174.383790292,146.865221683,136.404777555,2.59218273432,6.46273057277,41.7668864562,1.61058258995,1.61058211897,1.61058164795,1.61314233602,1.61058258995,1.60706048021,-0.156151467121,0.00123165966436,1.52E-06,604.833,0.0754467,0,0,0.12514,5.84333,6.55466,6.53048,3,3,[3],21.679637927,50.7943619546
