,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
15,AFY,6.6953125,8.664872169494629,6442.9000000000015,5837.461000000001,1.4738554954528809,0.9136791825294495,18460.0,2.091190874728386,0.29813482592642077,25.1,20.9,17.2,1.0
16,AHT,3.8828125,4.903059959411621,9397.830000000002,5968.708000000001,1.0448603630065918,0.5174922943115234,4361.0,2.164382662242224,0.5253345673641958,31.8,19.9,16.7,1.0
17,ANA,2.4765625,4.237924098968506,17582.070000000003,9011.436000000002,0.895808756351471,0.49745988845825195,3510.0,1.6001546756454992,0.1836115514121421,26.5,26.5,26.3,1.0
18,APC,2.6171875,5.122499465942383,12475.130000000003,8173.998000000002,1.09773588180542,0.5299069881439209,5487.0,1.9177107436354026,0.4828128293071852,17.9,39.6,20.5,1.0
19,APD,2.1953125,5.77927303314209,10490.850000000002,6381.915000000002,1.1612071990966797,0.5968101620674133,2288.0,1.823104326924446,0.37543843225439494,15.5,40.3,19.5,1.0
20,AST,1.7734375,7.2801103591918945,16316.140000000003,11124.632000000003,1.3347761631011963,0.7976889610290527,5796.0,1.680149355346762,0.2630726276405722,26.7,27.1,26.5,1.0
21,ASV,4.5859375,5.374011516571045,7655.700000000002,3549.0570000000007,0.8747540712356567,0.4114973247051239,704.0,1.4341226400190943,0.1916402104617585,16.4,16.4,27.6,1.0
22,ATN,4.1640625,6.581793308258057,5667.740000000001,3441.4520000000007,1.280373215675354,0.6965477466583252,11440.0,2.4285354392310174,0.64408867606348,24.7,24.7,10.4,1.0
23,ATO,5.7109375,5.949790000915527,12773.140000000003,7630.323000000002,1.0862008333206177,0.6287801861763,37944.0,4.091301218683953,1.3022415668865073,40.1,35.2,10.2,1.0
24,ATS,6.8359375,8.337865829467773,8749.380000000001,6758.136000000001,1.538077712059021,0.8233529329299927,23120.0,3.4870412293432134,1.183246036163401,25.1,43.3,10.4,1.0
25,ATT,1.4921875,5.939696788787842,4342.340000000001,2820.6530000000007,1.1273040771484375,0.5773175358772278,2024.0,1.5023502687487675,0.18792142791980135,19.5,14.0,18.6,1.0
26,ATV,1.9140625,4.651881217956543,8523.980000000001,4266.749000000001,0.9917526841163635,0.45450061559677124,39725.0,1.857175106530085,0.36995648418772226,15.4,30.2,18.9,1.0
27,AVL,2.3359375,7.3375749588012695,15851.850000000002,12105.963000000003,1.3410274982452393,0.8378364443778992,1224.0,1.3954443390884632,0.14967369157486657,25.1,22.9,35.2,1.0
28,AWO,1.9140625,5.462599754333496,17269.190000000002,9615.666000000003,0.9674992561340332,0.5531686544418335,12042.0,1.4477602772945972,0.13817623655228412,16.7,30.3,37.0,1.0
29,AWW,4.1640625,8.588364601135254,8531.990000000002,6233.950000000002,1.2946135997772217,0.9156973958015442,11300.0,2.0194401894521445,0.49973402606647094,27.3,27.3,14.4,1.0
30,BCT,2.4765625,3.693236827850342,2975.3800000000006,1410.9810000000002,0.8539105653762817,0.337829053401947,1517.0,2.3031684745622245,0.6464853352532817,17.6,16.1,10.3,1.0
31,BEA,6.2734375,7.135825157165527,25983.040000000005,20246.664000000004,1.316418170928955,0.8419102430343628,5244.0,1.4779919530120584,0.08674829207087896,25.2,25.2,52.2,1.0
32,BEC,6.4140625,7.022820472717285,10463.430000000002,9171.280000000002,1.4969916343688965,1.0030442476272583,8820.0,1.8714236871206145,0.35051499071730224,24.5,24.5,24.7,1.0
33,BIK,3.3203125,5.0,4534.510000000001,2373.3500000000004,1.0398110151290894,0.4527791142463684,5467.0,3.2325302832628293,1.221077409345771,15.1,31.6,9.8,1.0
34,BOF,1.6328125,5.385164737701416,8645.560000000001,5369.640000000001,1.2076746225357056,0.5773221850395203,144.0,1.660069943455372,0.22844660452479562,15.2,25.8,25.4,1.0
35,BOG,5.0078125,9.176055908203125,34927.340000000004,28452.172000000006,1.375802993774414,0.9512698650360107,21798.0,2.30637847079735,0.57489987254329,40.3,47.4,24.5,1.0
36,BOZ,5.0078125,8.854377746582031,36613.770000000004,38404.38400000001,1.855163812637329,0.9400016665458679,36450.0,2.159487310506655,0.5090009330592962,28.5,71.8,27.7,1.0
37,BPH,6.4140625,9.662298202514648,10951.120000000003,8487.798000000003,1.3504533767700195,0.8673213720321655,7680.0,1.8034410753336085,0.23316010819747884,26.6,21.7,24.3,1.0
38,BRE,3.1796875,5.751521587371826,6363.9000000000015,3755.455000000001,1.13335382938385,0.5676721930503845,30315.0,2.21074982006283,0.588975419741166,13.3,34.1,15.3,1.0
39,BSV,3.8828125,5.813776969909668,36090.40000000001,22819.876000000004,1.0884004831314087,0.6764775514602661,32757.0,1.7188106784175838,0.16948836778865106,34.8,34.7,34.6,1.0
40,CAN,5.8515625,6.276942253112793,4448.460000000001,2917.1150000000007,1.3182039260864258,0.606854259967804,3456.0,2.568959318842468,0.5644737648102363,23.3,21.5,10.4,1.0
41,CAS,1.9140625,4.874423027038574,9498.500000000002,5108.616000000001,1.0554165840148926,0.45881909132003784,144.0,1.5109498586222614,0.12858492585779835,10.5,28.0,33.2,1.0
42,CDO,3.3203125,5.768881797790527,14210.730000000003,8071.259000000002,0.9874811768531799,0.5338581800460815,4104.0,1.7137985018253472,0.3006553779578706,15.2,35.5,28.0,1.0
43,CFI,1.9140625,7.830708980560303,13425.860000000002,8542.644000000002,1.1379598379135132,0.7038712501525879,1104.0,1.529967475147079,0.05295167305195334,28.0,10.5,51.4,1.0
44,CGF,3.3203125,5.800000190734863,13150.580000000002,7824.595000000002,1.1052817106246948,0.6072012186050415,5640.0,2.7078744410568913,0.7614875291364871,31.2,32.4,14.6,1.0
45,CGS,3.1796875,6.782330513000488,12423.260000000002,9121.924000000003,1.2339290380477905,0.7249109745025635,3404.0,1.6454637427644552,0.17760132687879182,17.3,28.7,31.0,1.0
46,CHA,3.7421875,7.641989231109619,13752.630000000003,10963.145000000002,1.3558317422866821,0.8182748556137085,7440.0,1.574353995562557,0.18350680990503243,25.9,23.4,29.7,1.0
47,CON,5.5703125,7.432361602783203,20653.640000000003,16501.262000000002,1.4094620943069458,0.8982619047164917,10925.0,2.093053414064357,0.4589022085208362,45.0,26.0,23.3,1.0
48,CSV,5.2890625,8.749856948852539,8014.9000000000015,5836.027000000001,1.2688806056976318,0.7875375151634216,6384.0,2.1820306424840785,0.3605444554066389,26.4,21.8,17.1,1.0
49,CZP,3.7421875,5.429548740386963,9524.760000000002,4715.716000000001,0.8964318633079529,0.5504830479621887,1584.0,1.6442617989133936,0.11192019630034154,19.3,16.4,30.1,1.0
50,DAC,3.7421875,5.663920879364014,9654.870000000003,5905.394000000001,1.1236371994018555,0.598518431186676,13896.0,2.0850677341883554,0.4723413034023559,37.2,15.2,18.9,1.0
51,DDR,2.3359375,7.868926048278809,47366.31000000001,30984.211000000007,1.2802966833114624,0.7222927808761597,4165.0,1.33001229230422,0.04945031144528853,27.8,24.1,81.9,1.0
52,DFO,7.3984375,11.596551895141602,51560.30000000001,44019.92100000001,1.4459766149520874,1.024448275566101,31787.0,1.7769215394641458,0.25671851278181324,42.9,38.5,42.5,1.0
53,DFT,3.8828125,5.196152687072754,2660.7200000000007,1223.0500000000002,0.8806760907173157,0.482350617647171,1410.0,1.5436054250123483,0.2496551322016682,13.1,13.1,15.4,1.0
54,DOH,2.1953125,7.2443084716796875,13543.760000000002,8196.873000000001,1.2459053993225098,0.6143925786018372,5986.0,1.7377858497411764,0.2592632252878263,27.7,24.1,22.3,1.0
55,DON,8.2421875,8.774964332580566,23402.470000000005,17768.128000000004,1.2655577659606934,0.7834882736206055,8988.0,2.867219054118795,0.8022464084060174,38.3,45.2,17.2,1.0
56,EAB,2.3359375,7.082372188568115,13524.710000000003,9859.610000000002,1.3377668857574463,0.7978003621101379,2793.0,1.4251596476290294,0.1523628923423774,24.6,22.4,30.5,1.0
57,EDI,3.6015625,5.617828845977783,1511.7000000000003,1282.5560000000003,1.472233533859253,0.7206728458404541,36.0,1.7101555266854263,0.3182092774699435,12.9,12.9,12.1,1.0
58,EEI,2.0546875,6.9828362464904785,75712.08000000002,47829.77400000001,1.2472182512283325,0.6291125416755676,56426.0,1.824982905084172,0.3011276619322376,27.9,70.7,44.0,1.0
59,EMT,7.3984375,11.63958740234375,37858.780000000006,37286.63900000001,1.6497200727462769,1.212628960609436,13320.0,1.3235189895458987,0.09745245589342061,33.4,29.8,56.7,1.0
60,EON,1.9140625,7.823042869567871,23790.680000000004,16846.920000000006,1.2720690965652466,0.7615728378295898,3773.0,1.3999760403278623,0.10249081680780682,15.4,36.6,51.2,1.0
61,EPI,3.6015625,6.082762718200684,9136.580000000002,5667.054000000001,1.1965292692184448,0.6029728055000305,1176.0,2.241098550544998,0.5098596360433081,18.4,34.0,16.5,1.0
62,ERI,3.1796875,6.922427177429199,13188.600000000002,9371.119000000002,1.2748340368270874,0.8276265859603882,2666.0,1.5394813979419397,0.1809942742503709,24.5,22.6,29.2,1.0
63,ESV,2.1953125,6.814689636230469,18713.500000000004,12255.437000000004,1.2046996355056763,0.7167974710464478,15255.0,1.4280462652582608,0.1092223080350459,19.7,24.8,44.7,1.0
64,ETL,3.0390625,6.581793308258057,28527.660000000007,17016.158000000003,1.0864604711532593,0.6151448488235474,14030.0,1.7574647807983816,0.3415013104268287,15.3,57.7,35.4,1.0
65,ETR,9.7890625,10.669583320617676,17686.560000000005,15273.301000000003,1.3984085321426392,0.9165504574775696,39744.0,2.8180532721491605,0.7237774157800683,40.7,36.1,16.7,1.0
66,EUO,2.3359375,7.7201032638549805,42569.060000000005,28733.601000000006,1.2342158555984497,0.7411727905273438,37910.0,1.6292077461005798,0.22773417862935208,28.0,44.8,40.4,1.0
67,EWS,4.1640625,6.368673324584961,37933.69000000001,26583.193000000007,1.1845781803131104,0.6844530701637268,4940.0,1.76425699146546,0.2293560044480456,38.9,32.1,36.7,1.0
68,EZT,2.4765625,6.651315212249756,17295.660000000003,12189.937000000004,1.2495100498199463,0.785283088684082,7752.0,1.4779678667904645,0.08984463276082269,19.6,24.8,43.7,1.0
69,FAR,2.1953125,6.352952003479004,33339.23,21698.950000000004,1.2824851274490356,0.6556013822555542,1023.0,1.2550437246763073,0.06417388563580065,24.9,21.6,71.4,1.0
70,FAU,7.3984375,11.288932800292969,75432.77000000002,80648.20200000002,1.7693579196929932,1.277373194694519,34532.0,1.5832031426930786,0.14576396963796417,49.2,49.3,49.1,1.0
71,FER,4.5859375,6.276942253112793,13641.090000000002,8364.536000000002,1.1730787754058838,0.5981118083000183,34026.0,2.434191128376467,0.6288940287243756,35.9,28.4,15.0,1.0
72,FRA,2.3359375,6.352952003479004,23789.890000000003,15363.664000000004,1.2929030656814575,0.6489570736885071,2236.0,1.30649446483237,0.09507752648275442,25.0,21.5,50.7,1.0
73,GIS,3.1796875,5.858327388763428,6265.130000000001,4551.583000000001,1.1964845657348633,0.5970416069030762,1088.0,1.6164189680698993,0.2713838174554737,19.7,19.1,20.4,1.0
74,GIU,2.3359375,6.324555397033691,38881.50000000001,24801.428000000007,1.262194275856018,0.6054632663726807,4536.0,1.2261314910102283,0.05692032702149805,24.9,21.6,82.0,1.0
75,GME,6.9765625,7.597367763519287,8667.690000000002,7140.826000000002,1.3228628635406494,0.8023415803909302,600.0,1.9550571478137977,0.38805142280794475,26.0,22.9,19.6,1.0
76,GON,5.7109375,6.648307800292969,11271.770000000002,6900.4760000000015,1.1717405319213867,0.587315022945404,7480.0,3.8144100843402104,1.2952524451140015,32.1,38.6,10.3,1.0
77,GOO,2.7578125,5.003998756408691,12829.970000000003,7408.286000000002,1.0252149105072021,0.4771530032157898,6344.0,1.5749654718826165,0.09161639124415369,17.6,23.8,33.2,1.0
78,HEU,4.0234375,6.352952003479004,13509.240000000003,9014.193000000003,1.2610019445419312,0.676163375377655,74752.0,2.9691574432864485,0.7941452820999396,35.5,33.7,13.4,1.0
79,IFO,1.4921875,8.31865406036377,24356.620000000006,16642.895000000004,1.2575178146362305,0.9181848764419556,3496.0,1.5652148507975476,0.07233885927925084,31.9,19.9,46.0,1.0
80,IFR,6.4140625,7.402702331542969,11379.860000000002,7982.147000000002,1.3203535079956055,0.8553406000137329,6305.0,2.4917786540163847,0.7075768590772885,37.8,25.9,14.3,1.0
81,IFW,5.5703125,9.583318710327148,23677.280000000006,17813.777000000006,1.3758341073989868,0.8589687943458557,58880.0,2.4491744730222393,0.5635447755154256,43.3,35.2,19.8,1.0
82,IFY,1.9140625,7.037044525146484,17987.460000000003,12631.726000000002,1.2540912628173828,0.6945005655288696,6237.0,1.7652571087289208,0.3549175839815312,30.2,30.2,23.9,1.0
83,IHW,3.7421875,7.302054405212402,42561.00000000001,26672.732000000007,1.1806490421295166,0.6166830062866211,9900.0,1.7363398227715467,0.2276782074492977,28.0,47.8,36.3,1.0
84,IMF,5.4296875,7.397296905517578,108103.14000000001,74890.12000000002,1.2936558723449707,0.7329109311103821,64008.0,2.251525743801843,0.7067900844698735,28.8,113.4,40.2,1.0
85,IRN,2.8984375,9.195651054382324,33936.61000000001,26363.881000000005,1.507604718208313,0.920566976070404,36792.0,1.7157419669745817,0.22273604522815946,37.9,36.7,31.6,1.0
86,IRR,12.4609375,14.785127639770508,20855.700000000004,24145.452000000005,1.5908138751983643,1.3047480583190918,3108.0,2.073227581112183,0.39236350976979945,38.5,33.3,26.9,1.0
