,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
202,STO,1.9140625,7.124605655670166,41608.880000000005,22928.417000000005,1.0417749881744385,0.6524457931518555,4270.0,1.5925418066753725,0.20084840091517447,60.0,15.6,47.7,1.0
203,STT,4.0234375,7.453858375549316,25432.190000000006,17947.181000000004,1.255354642868042,0.7942800521850586,9020.0,1.954538562640553,0.3505945842707451,26.4,44.0,26.6,1.0
204,STW,4.7265625,6.770524501800537,24528.850000000006,17430.349000000006,1.1908690929412842,0.6708468794822693,1638.0,1.3826019690302094,0.05025043466656965,24.1,20.6,60.0,1.0
205,SVR,4.4453125,6.599999904632568,38383.43000000001,23877.862000000005,1.1392483711242676,0.649986982345581,20636.0,1.8064481226231752,0.20840610288254635,41.1,26.9,39.2,1.0
206,SVV,1.7734375,6.7941155433654785,21877.020000000004,13056.054000000004,1.134186863899231,0.6475765705108643,5885.0,1.4326524289351308,0.15655918212761338,26.6,25.6,35.5,1.0
207,SZR,4.5859375,6.276942253112793,12162.790000000003,7717.857000000002,1.1251225471496582,0.6107515692710876,3570.0,2.605655467406408,0.730337694944903,36.5,27.8,13.9,1.0
208,TER,4.5859375,6.910861015319824,30755.930000000008,20253.783000000003,1.230024814605713,0.6674212217330933,7462.0,1.6324184461105744,0.2916347564418192,18.6,47.4,40.6,1.0
209,THO,3.7421875,5.720139503479004,3633.040000000001,2651.9360000000006,1.3390934467315674,0.684527575969696,7007.0,2.3089815378721426,0.4692231536427093,26.7,13.0,12.8,1.0
210,TOL,2.0546875,6.578753471374512,30262.250000000007,18282.476000000006,1.1512622833251953,0.6466943621635437,1824.0,1.26857237068727,0.08797846797911318,24.9,21.6,61.5,1.0
211,TON,5.0078125,5.699122428894043,8066.520000000001,4743.631000000001,1.2283039093017578,0.5610417723655701,5548.0,3.940538180585235,1.4289872497920713,27.2,35.2,9.3,1.0
212,TSC,4.1640625,16.34013557434082,151118.82000000004,141433.96300000005,1.802629828453064,1.4047785997390747,86450.0,1.473728313991478,0.13548246304862896,60.3,60.3,60.1,1.0
213,TUN,4.8671875,8.354639053344727,74715.03000000001,47013.24900000001,1.1360011100769043,0.7331158518791199,170502.0,1.8516473325666667,0.2760411318938197,56.0,38.9,39.3,1.0
214,UEI,3.0390625,5.458937644958496,18601.630000000005,10521.730000000003,0.9800176024436951,0.5682652592658997,2613.0,1.679300939530967,0.3163343970352457,37.7,17.5,30.3,1.0
215,UFI,1.7734375,10.049875259399414,24432.630000000005,17969.385000000006,1.4372175931930542,1.011163353919983,450.0,1.2470535334055532,0.06968161442342641,23.3,23.3,55.8,1.0
216,UOS,3.0390625,5.868560314178467,9017.79,5150.430000000001,1.0352798700332642,0.6214622855186462,27233.0,1.8803112397648825,0.46328479480470797,39.7,13.9,17.7,1.0
217,UOV,4.8671875,8.774964332580566,63156.19000000001,46697.20000000001,1.2608847618103027,0.8818622827529907,4582.0,1.3752946873987875,0.1355143837449817,24.5,42.8,76.4,1.0
218,UOZ,1.2109375,5.374011516571045,16724.020000000004,8360.599000000002,0.9050539135932922,0.5879141688346863,462.0,1.2094827066017713,0.08229790059850872,17.5,17.5,54.3,1.0
219,USI,6.1328125,7.048403739929199,14971.220000000003,10486.231000000002,1.2721283435821533,0.7983400821685791,7155.0,2.6064432335893564,0.6620078551218469,42.3,24.8,17.4,1.0
220,UTL,7.5390625,9.219544410705566,29136.110000000004,22699.541000000005,1.3116710186004639,0.9532207250595093,34986.0,2.31501283686735,0.6504426626771421,58.3,27.0,23.9,1.0
221,UWY,5.9921875,8.82496452331543,21463.300000000003,15074.141000000003,1.246730089187622,0.7732540369033813,22244.0,2.3227276259175964,0.6522807452490492,49.1,24.5,21.9,1.0
222,VET,5.9921875,6.292853355407715,6259.440000000001,3395.574000000001,1.0688406229019165,0.7176745533943176,18079.0,3.1804197044494678,0.8721475610203735,26.0,26.0,9.9,1.0
223,VFI,11.3359375,11.939848899841309,14359.410000000003,12601.145000000002,1.2599096298217773,1.0508058071136475,6278.0,2.445037246611906,0.6160593622037689,36.9,30.7,17.3,1.0
224,VNI,2.3359375,4.732863903045654,25041.960000000006,15673.229000000003,1.1194511651992798,0.4893767833709717,4092.0,1.4732508505859068,0.046656753968196546,20.3,20.3,68.1,1.0
225,VSV,2.7578125,4.80832576751709,13492.180000000002,7990.392000000002,1.0566562414169312,0.5016500353813171,976.0,1.3486590352944987,0.02920328441961479,13.3,13.3,82.9,1.0
226,WEI,3.3203125,4.199999809265137,7373.520000000001,4845.550000000001,1.1220858097076416,0.5278275012969971,2074.0,1.8104202915443808,0.3297117453293114,23.0,20.1,18.6,1.0
227,WEN,3.0390625,5.517245769500732,7176.720000000001,4746.640000000001,1.1354128122329712,0.6409488916397095,7216.0,2.3764797001524927,0.5548706048309552,27.5,22.3,13.7,1.0
228,YUG,3.0390625,4.83735466003418,6306.230000000001,3762.177000000001,1.0723447799682617,0.5080786347389221,2079.0,2.540894424794254,0.7135237432738288,20.7,26.3,12.6,1.0
229,ZON,1.4921875,5.720139503479004,12209.980000000003,7531.834000000002,1.174039363861084,0.6345246434211731,308.0,1.4576255016731656,0.16842297406329998,13.2,30.0,34.4,1.0
