,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
CHA,CHA,3.7861328125,7.56042326857432,7413.730000000001,4134.025000000001,2.0798280143701833,0.7303173211237415,1189.0,1.5175768154797769,0.2495849230968721,25.9,23.4,29.7
CON,CON,2.9775390625,7.541883053985922,8997.890000000001,6157.953000000001,2.2956388736177527,0.8057901539638639,448.0,2.1829367493816,0.5632192159829739,45.0,26.0,23.3
CSV,CSV,3.7509765625,8.121576201698781,3434.350000000001,1787.7560000000003,1.8799180637229034,0.5794390082082673,78.0,1.9834172025897914,0.41322846801153973,26.4,21.8,17.1
CZP,CZP,3.7861328125,4.47213595499958,1582.4600000000003,609.9830000000002,1.975761751739015,0.10116893857800294,14.0,1.4542451410025206,0.004895923166683952,19.3,16.4,30.1
DAC,DAC,3.8037109375,5.674504383644443,3732.890000000001,1393.5200000000004,1.741532712910973,0.4421242634976765,418.0,1.4310119178033711,0.20999821946327255,37.2,15.2,18.9
DDR,DDR,2.3271484375,7.820485918406861,12671.240000000002,7060.2930000000015,2.2515318903686583,0.7268436123028161,60.0,1.5185336526706414,0.012363729547427886,27.8,24.1,81.9
DFO,DFO,7.4423828125,11.738824472663351,25068.800000000007,19110.929000000004,2.6413097412070767,0.9165548656807817,42016.0,1.4825564010592283,0.20349210259582334,42.9,38.5,42.5
DFT,DFT,3.6806640625,4.967896939349688,666.3600000000001,142.77800000000002,1.3640559735312927,0.3454012236500467,9.0,1.456122879704061,0.3206180996469613,13.1,13.1,15.5
DOH,DOH,2.2041015625,7.29657453878188,3620.8600000000006,1378.0670000000002,1.7432932390265685,0.597636298931297,4.0,1.5537573038246872,0.41043053520828837,27.7,24.1,22.3
DON,DON,8.3916015625,8.845337754998393,9561.140000000001,5552.590000000001,1.9329660141100464,0.9071323278766081,306.0,2.9769421390169977,0.9761572603252799,38.3,45.2,17.3
EAB,EAB,2.3271484375,7.011419257183242,6285.200000000002,3165.7620000000006,2.0184121639881,0.7026898670083667,198.0,1.6516761374957312,0.2637216077480333,24.6,22.4,30.5
EDI,EDI,3.5400390625,5.6674509261219015,945.6100000000001,331.7680000000001,1.7945805390335867,0.37683289733880315,16.0,1.6570227369018617,0.40487339484481716,12.9,12.9,12.1
EEI,EEI,2.1337890625,7.045565981523414,24779.270000000004,11629.417000000003,1.823605147890725,0.6680025755907353,7488.0,2.1346425523281067,0.44140595621739537,27.9,70.7,44.1
EMT,EMT,7.6005859375,11.656757696718243,18303.290000000005,17278.010000000006,2.776864750612523,1.168881313451176,130.0,1.4798621972795603,0.2073233312566818,33.4,29.8,56.7
EON,EON,1.4658203125,7.8434686204510315,10263.980000000001,5453.856000000002,2.085079916033676,0.6571599744938961,0.0,nan,nan,15.4,36.6,51.3
