REFCODE,Kh(mmol/gratm) CH4,Ener_dif(kJ/mol)CH4,Kh(mmol/gratm)H2,Ener_dif(kJ/mol)H2
FAU,0.9342473,1.3445889,0.0292082,0.27823790000000004
FER,1.0576889999999999,1.7774352,0.020044299999999998,0.5148407
FRA,1.3962407,196.33860780000003,0.027716200000000003,7.513150200000001
GIS,0.8252886,17.5542049,0.027744599999999998,1.3403363000000001
GIU,1.1761751,231.2744446,0.0229467,7.8298507
GME,0.6291194,0.174544,0.027962900000000002,0.0411388
GON,0.3511297,0.6707063,0.011552799999999998,0.1684233
GOO,0.5618045,26.979013399999996,0.017547200000000002,1.4500488
HEU,0.9877296,8.1134281,0.021515799999999998,1.1872418
IFR,0.5372494999999999,1.9378885,0.019642,0.4146446
IHW,0.5553538,10.9987574,0.015600999999999999,1.562315
IMF,0.6396549,4.351848599999999,0.018036700000000003,1.0304754
ISV,0.3657574,2.1570609,0.0237983,0.45004079999999996
ITE,0.5288946999999999,4.7314367,0.023175099999999997,1.7972028000000002
ITH,0.5546549,3.8377468999999995,0.018305599999999998,0.9196568000000002
ITR,0.5526698,3.0617892999999996,0.0185057,0.7782646
ITW,0.9563198,5.7137623,0.0220422,1.4026268
IWR,0.45573379999999997,3.9564879,0.022924,0.8410035
IWS,0.3154263,2.1261528,0.023792599999999997,0.4467032
IWV,0.2722777,0.7620498,0.0220906,0.1539905
IWW,0.4457248,3.3020935,0.0206332,0.68915
JBW,0.6031085,7.595922,0.0175083,0.9467945
JRY,1.2064,1.4515915000000001,0.0184675,0.8321154000000001
KFI,0.5161818,6.1102300000000005,0.027591900000000003,2.2264986
LAU,0.8090695,3.0087490000000003,0.017513900000000002,0.8475202
LEV,0.8742146999999999,12.411463699999999,0.026030200000000003,1.1978205
LIO,1.9163346999999997,348.3391724,0.0229008,15.004508999999999
LIT,1e-07,997.5575562000001,0.0032045000000000003,56.3924141
LOS,1.2104053,225.68905640000003,0.0250171,7.6465702
LOV,1.1304875,9.2629042,0.0247512,0.8624075000000001
LTA,0.9968911,3.5106062999999996,0.030197900000000003,2.0556083
LTF,0.7397676,0.13240829999999998,0.021766,0.027722700000000003
LTL,0.2307674,1.072697,0.0161088,0.22462939999999998
LTN,1.330049,547.321106,0.022402599999999998,26.411210999999998
MAR,1.5047277000000001,362.67611689999995,0.0219518,14.4658766
MAZ,0.7690272,0.13004200000000002,0.022174400000000004,0.0270543
MEI,0.4431228,1.401724,0.026539799999999995,0.3008205
MEL,0.6037398,5.360881299999999,0.0179346,1.3101245000000001
MEP,4.065868,1204.9748535,0.0261909,66.8801727
MER,0.8620099,9.305099499999999,0.0266238,2.6279964
MFI,0.7235603,5.512043,0.016390099999999998,1.5742729
MFS,0.48153729999999995,2.9991567000000003,0.019618200000000002,0.7299401
MON,0.4788322,12.8817129,0.024443700000000002,0.6542474
MOR,0.9215030999999999,0.29219290000000003,0.020771400000000002,0.0661435
MOZ,0.44746379999999997,1.0680643,0.017871900000000003,0.22372150000000002
MRE,0.49136729999999995,0.8507503000000001,0.009826600000000001,0.2350962
MSE,0.41961329999999997,1.8715828999999997,0.020635499999999998,0.39117909999999995
MSO,0.46533279999999994,599.6187133999999,0.015727500000000002,32.3839149
MTF,0.636608,6.1656575,0.011658,2.0505612
MTN,4.4066057,227.66746519999998,0.028377099999999995,7.679695599999999
MTT,0.43988900000000003,1.518633,0.0141732,0.415757
MTW,0.3473195,1.0591196000000003,0.0155137,0.2606178
MWW,0.6634045,2.0414833999999997,0.0232672,0.5674051999999999
NAB,0.265748,10.1791992,0.026552099999999995,0.3879514
NAT,0.9662351999999998,0.49187929999999996,0.027017700000000002,0.1493489
NES,0.4139393,3.6004496,0.0203476,0.9621296999999999
NON,0.5762748000000001,362.22555539999996,0.0194035,15.8431206
NPO,0.168177,2.9505894,0.0122331,0.17295510000000003
NSI,0.2735593,18.258426699999998,0.016122,1.4820106000000002
OBW,0.43607570000000007,3.7016847,0.033301599999999994,0.9692238000000001
OFF,0.7944819000000001,0.8187449,0.0236856,0.17699410000000002
OSI,0.2482958,0.1596181,0.0145982,0.038145099999999994
OSO,0.3862913,0.2091254,0.030957,0.051311300000000004
OWE,1.0338178,6.399263400000001,0.0233371,2.0053706
PAR,0.24179989999999998,9.1374426,0.0147511,1.3681905
PAU,0.9231229,11.960657099999999,0.028172199999999998,3.4095647000000007
PHI,0.8994736999999999,9.9954185,0.027433,2.0774391
PON,0.8212273000000001,1.0187681999999998,0.0176598,0.5697147
RHO,0.9528606,11.8091898,0.0299368,3.3836882000000004
RON,0.32307509999999995,1.0130682,0.009942399999999999,0.3125962
RRO,0.49039750000000004,1.6805845000000001,0.020410499999999998,0.8472376
RSN,0.7907592,7.1912704,0.024205200000000003,0.9201323
RTE,0.8191753,4.263145,0.0213293,1.8062429
RTH,0.5588038000000001,3.7242227,0.023125200000000002,1.6989287
RUT,1.2909781,252.50413509999998,0.020261900000000003,9.0395231
RWR,0.915285,31.1355553,0.0171893,1.2491039
RWY,0.23819200000000001,3.3254967000000004,0.0488161,0.7103866999999999
SAO,0.31784959999999995,1.5003685,0.0270283,0.318181
SAS,0.45874750000000003,2.628902,0.025621299999999996,1.7794131999999998
SAT,0.5828966,26.9240875,0.0218257,0.7847816
SAV,0.4904923,4.673797599999999,0.027926799999999998,2.0854955000000004
SBE,0.4443107,3.4022233,0.027647199999999997,0.6838798
SBN,1.2424277,6.3162508,0.026717400000000002,0.45140810000000003
SBS,0.2552295,1.3978342,0.0269306,0.28415359999999995
SBT,0.25287750000000003,1.0795606000000002,0.026896299999999998,0.2204982
SFE,0.2612032,1.1059645,0.0165554,0.24943320000000002
SFF,0.4980929,2.6770227,0.0184718,0.619138
SFG,0.3878553,4.174624,0.015074500000000001,0.938526
SFH,0.1905059,1.3418921999999998,0.019185900000000002,0.28440590000000004
SFN,0.195151,1.4844834999999998,0.0180046,0.3074942
SFO,0.46981080000000003,1.8159453999999997,0.0252615,0.3816067
SFS,0.4991134,2.7014932999999997,0.019481599999999998,0.6004649000000001
SGT,0.8133505999999999,569.859375,0.0218284,27.002735100000002
SIV,0.8879469999999999,9.69172,0.0277221,2.1432474
SOD,2.1309876,267.0799866,0.027095400000000002,9.7167482
SOF,0.9631059000000001,2.9393032000000003,0.025591299999999997,1.0534621000000002
SOS,0.30048359999999996,2.4497988,0.020259,0.8032568
SSF,0.2743959,1.7382915,0.0179775,0.3784388
SSY,0.2577866,2.4364605,0.0166467,0.5384485
STF,0.52609,3.3283415,0.020580900000000003,0.7899573000000001
STI,0.7068002,1.7114633000000001,0.0223069,0.5850641
STO,0.2797715,1.7099379000000001,0.0117711,0.3787702
STT,0.6289779000000001,5.0494623,0.0210632,1.79267
STW,0.9869004000000001,3.4768846,0.0262361,0.8869866
SVR,0.6800915,3.8839252,0.0175,0.9939235000000001
SZR,0.4497573,3.0970507,0.0197987,0.9902235
TER,0.6932029000000001,4.7874041,0.0197917,1.1665485
THO,0.9451501,7.7184091,0.0270197,1.3011881
TOL,1.3818581,317.89291380000003,0.021244700000000002,13.158714300000002
TON,0.49247559999999996,1.7531139,0.014351499999999998,0.4038339
TSC,0.6426272,5.176735900000001,0.0296928,2.4025316
TUN,0.60527,6.1597199,0.0179373,1.3703883999999997
UEI,0.7578113000000001,8.3761425,0.0187709,1.8775756000000001
UFI,1.1637680000000001,2.7997303,0.0276621,1.7864453999999999
UOS,0.7009889,3.7950307999999997,0.0188058,1.2876166999999998
UOZ,1.2840764999999998,83167.578125,0.016350299999999998,83151.7265625
USI,0.46393540000000005,1.9362941000000002,0.022566299999999997,0.41334490000000007
UTL,0.3073378,1.9516648999999997,0.020900400000000003,0.39294309999999993
VET,0.2454006,0.42053329999999994,0.0093862,0.1046997
VFI,0.11409280000000001,0.0188222,0.020866299999999997,0.0037126999999999993
VNI,0.4453398,30.053154,0.019618200000000002,1.8950628
VSV,0.42354899999999995,6.914849799999999,0.023641099999999998,0.9290639
WEI,0.3723444,11.358894300000001,0.026056700000000002,2.0811355
WEN,0.7702817,2.1432130000000003,0.022993200000000002,0.6067845000000001
YUG,0.6708881,38.5947533,0.0217087,2.3731098
ZON,1.2519353000000002,13.965414,0.0201774,1.4520402000000001
